scaffold,start,end,mid,sites,pi_roumanicus,pi_europaeus,pi_concolor,dxy_roumanicus_europaeus,dxy_roumanicus_concolor,dxy_europaeus_concolor,Fst_roumanicus_europaeus,Fst_roumanicus_concolor,Fst_europaeus_concolor
NW_006804075.1,37436,3466027,2014273,110,0.0558,0.0997,0.1025,0.392,0.2426,0.4151,0.6766,0.4503,0.5547
NW_006804077.1,8333,3134400,1675793,110,0.0444,0.0808,0.0801,0.4049,0.2498,0.4014,0.7391,0.5429,0.6132
NW_006804078.1,1432,4279692,2472400,100,0.0702,0.0812,0.0813,0.446,0.1749,0.427,0.709,0.3087,0.6291
NW_006804079.1,8577,2329617,1357095,110,0.0615,0.1034,0.1156,0.4006,0.2957,0.4354,0.6651,0.4831,0.5491
NW_006804080.1,20801,3911645,1960912,110,0.0531,0.1031,0.0826,0.4288,0.2264,0.417,0.7007,0.4675,0.5693
NW_006804081.1,99759,3693864,1824732,110,0.062,0.0991,0.0739,0.3364,0.3159,0.4639,0.6194,0.5569,0.619
NW_006804082.1,15198,3689377,1817012,110,0.0726,0.0823,0.0888,0.4176,0.2291,0.4231,0.686,0.39,0.6155
NW_006804083.1,961,2976933,1635468,110,0.1112,0.1012,0.0973,0.3922,0.3432,0.415,0.5676,0.4184,0.5566
NW_006804086.1,32584,2641743,1272865,110,0.0559,0.1153,0.0886,0.4102,0.2326,0.4052,0.665,0.4559,0.5272
NW_006804087.1,5904,3334438,1553053,110,0.0804,0.1145,0.1039,0.3812,0.2994,0.4209,0.5962,0.4428,0.5263
NW_006804088.1,1133,2978722,1789670,110,0.0613,0.0999,0.0874,0.4393,0.2759,0.448,0.6957,0.4974,0.5937
NW_006804089.1,15159,4078095,1560001,105,0.0466,0.1011,0.1108,0.4237,0.2909,0.4181,0.7137,0.5384,0.5455
NW_006804090.1,44527,3689485,1869302,110,0.051,0.0739,0.0946,0.4018,0.2276,0.3513,0.7342,0.4586,0.5727
NW_006804091.1,44927,2711873,1528555,110,0.0672,0.0735,0.1116,0.3695,0.292,0.3546,0.6782,0.4653,0.5554
NW_006804092.1,106972,3938539,2046763,105,0.077,0.0962,0.0762,0.4104,0.2056,0.4111,0.6521,0.3541,0.5871
NW_006804094.1,16641,2779551,1311575,110,0.0414,0.0885,0.1096,0.3452,0.2612,0.371,0.6938,0.5241,0.5354
NW_006804095.1,10892,2840091,1506611,110,0.0492,0.1004,0.065,0.4213,0.1837,0.4439,0.7078,0.441,0.6123
NW_006804096.1,18902,2789686,1140117,110,0.0654,0.1209,0.0903,0.4305,0.3035,0.3364,0.6527,0.5115,0.4487
NW_006804097.1,55736,3818893,1524556,110,0.0672,0.0975,0.0789,0.3535,0.2,0.413,0.626,0.3734,0.5829
NW_006804098.1,28287,3963087,2057074,103,0.0863,0.0917,0.0883,0.3253,0.2979,0.3372,0.5677,0.4423,0.5202
NW_006804099.1,24542,3014555,1703918,110,0.0771,0.0815,0.0638,0.4851,0.2866,0.3743,0.7167,0.4867,0.61
NW_006804100.1,78248,3480481,1934909,110,0.0576,0.0857,0.1204,0.3828,0.2453,0.4134,0.6885,0.421,0.5658
NW_006804101.1,9220,2273198,1120737,110,0.0785,0.0874,0.0719,0.4628,0.2045,0.4279,0.6944,0.3536,0.6247
NW_006804102.1,12100,3182906,1494885,110,0.0584,0.1014,0.0549,0.4635,0.1912,0.4572,0.7125,0.4324,0.6286
NW_006804104.1,42515,3804483,1966175,103,0.0555,0.1313,0.04,0.5069,0.195,0.4583,0.7009,0.4782,0.5804
NW_006804105.1,114540,4025714,2268116,106,0.0521,0.0822,0.0698,0.4809,0.1859,0.4528,0.7594,0.4233,0.6552
NW_006804107.1,93851,3567184,1656603,106,0.0513,0.119,0.0698,0.4533,0.2025,0.4123,0.6958,0.4576,0.5441
NW_006804108.1,9246,2684871,1421473,110,0.0523,0.1102,0.1116,0.3232,0.2877,0.3899,0.6098,0.5116,0.5013
NW_006804111.1,19542,3177606,1740353,110,0.0539,0.1066,0.1131,0.377,0.2746,0.4426,0.6587,0.4867,0.5503
NW_006804116.1,50769,3805800,2023392,106,0.0593,0.0988,0.0548,0.4971,0.2103,0.4655,0.7312,0.4616,0.6396
NW_006804117.1,15792,2338130,1303901,110,0.0996,0.0895,0.111,0.321,0.3256,0.3732,0.5384,0.4137,0.5332
NW_006804119.1,18400,2245714,1197216,110,0.1102,0.0989,0.1088,0.3933,0.2798,0.3575,0.5736,0.3359,0.4989
NW_006804120.1,1497,3800145,1898301,108,0.0791,0.1035,0.0963,0.3879,0.2978,0.377,0.6206,0.454,0.5206
NW_006804122.1,3788,2684188,1217400,110,0.0777,0.0834,0.0756,0.3362,0.1973,0.3143,0.6109,0.3377,0.5348
NW_006804123.1,27701,3509850,1626708,108,0.08,0.0856,0.098,0.384,0.4311,0.4136,0.6428,0.5719,0.5907
NW_006804124.1,14856,2894618,1321885,110,0.0505,0.0792,0.0728,0.3989,0.2738,0.3649,0.725,0.5577,0.5975
NW_006804129.1,88608,3706680,1960317,101,0.0846,0.1175,0.0889,0.3656,0.2911,0.365,0.5699,0.4383,0.4866
NW_006804135.1,24310,2755329,1555659,110,0.0382,0.1059,0.0798,0.4161,0.1902,0.4221,0.7191,0.4796,0.5697
NW_006804136.1,6989,2108539,1042727,110,0.0645,0.1239,0.1079,0.3731,0.3175,0.3695,0.6066,0.508,0.4578
NW_006804138.1,1895,2412339,1104939,110,0.08,0.0954,0.0913,0.329,0.2862,0.3561,0.5789,0.4433,0.526
NW_006804140.1,17382,3584663,1541615,110,0.0788,0.0953,0.0975,0.3652,0.3028,0.3627,0.6149,0.4591,0.5251
NW_006804141.1,105063,3459068,1836316,110,0.0481,0.0969,0.1008,0.4169,0.2325,0.4076,0.713,0.4682,0.5568
NW_006804144.1,5907,3120404,1403812,110,0.1127,0.1317,0.084,0.3406,0.2394,0.3588,0.4711,0.3009,0.4562
NW_006804146.1,130029,3471635,1769339,100,0.0687,0.0864,0.0961,0.4591,0.2234,0.4696,0.7117,0.383,0.6287
NW_006804147.1,34695,3254938,1818082,109,0.0852,0.0939,0.0696,0.4755,0.2131,0.4235,0.6812,0.3506,0.6087
NW_006804148.1,1362,2706209,1005507,110,0.053,0.0934,0.0714,0.3963,0.3026,0.3573,0.6952,0.5806,0.5555
NW_006804150.1,554,3297323,1648665,103,0.0789,0.1055,0.086,0.379,0.3206,0.379,0.6107,0.4918,0.5291
NW_006804152.1,858,3272387,1768743,104,0.0402,0.0845,0.0709,0.503,0.1617,0.5613,0.7875,0.4278,0.7041
NW_006804153.1,7690,2660900,1121034,110,0.0891,0.0982,0.1223,0.2772,0.319,0.3262,0.4928,0.421,0.4514
NW_006804154.1,24799,2925833,1504927,110,0.059,0.1039,0.0914,0.4093,0.2442,0.4272,0.6753,0.4571,0.5662
NW_006804155.1,34924,2099513,1054278,110,0.0596,0.0979,0.0909,0.4098,0.1955,0.4161,0.6836,0.3736,0.5716
NW_006804156.1,52630,3136654,1627680,110,0.0585,0.1218,0.0779,0.371,0.2021,0.354,0.6202,0.4122,0.4788
NW_006804159.1,58114,3157390,1956026,110,0.0671,0.1003,0.1109,0.4024,0.2702,0.4424,0.6599,0.4383,0.5654
NW_006804160.1,3716,3048765,1894388,110,0.0356,0.0941,0.1155,0.4178,0.2649,0.476,0.7442,0.5453,0.5972
NW_006804165.1,10852,3136252,1703507,105,0.0364,0.0955,0.11,0.425,0.2998,0.4068,0.7441,0.5915,0.5494
NW_006804173.1,30554,3057234,1615587,106,0.0419,0.0642,0.1157,0.3493,0.2136,0.3719,0.7404,0.4372,0.591
NW_006804174.1,1422,3249602,1498641,105,0.0771,0.0878,0.0457,0.4092,0.2274,0.3786,0.6634,0.4337,0.6181
NW_006804175.1,24111,2979510,1300814,110,0.0689,0.0875,0.1091,0.3603,0.3441,0.3853,0.6444,0.5199,0.5509
NW_006804176.1,40079,2554877,1324372,110,0.0396,0.083,0.0715,0.4826,0.2741,0.4254,0.7828,0.6082,0.6341
NW_006804177.1,2948,2880574,1422996,110,0.0711,0.077,0.0883,0.3793,0.231,0.3937,0.6713,0.3986,0.6078
NW_006804184.1,16838,2860431,1514147,110,0.0397,0.0978,0.0943,0.3889,0.1972,0.4054,0.7122,0.4565,0.5598
NW_006804188.1,3497,2988248,1559485,110,0.0799,0.0994,0.0685,0.465,0.2138,0.3923,0.6773,0.3701,0.5736
NW_006804193.1,17829,2940863,1102132,108,0.0645,0.108,0.1496,0.3257,0.281,0.347,0.5884,0.4109,0.4222
NW_006804194.1,1432,2977822,1562599,101,0.05,0.0837,0.1004,0.3368,0.2457,0.3745,0.6749,0.4808,0.5607
NW_006804196.1,18159,2982246,1383927,102,0.0477,0.1034,0.0799,0.4842,0.1995,0.4959,0.7398,0.4501,0.6235
NW_006804197.1,105390,3023889,1821122,100,0.0556,0.0816,0.1465,0.4902,0.2433,0.4748,0.7576,0.3863,0.5928
NW_006804199.1,42281,2650599,1559370,110,0.0628,0.0934,0.0929,0.3917,0.2638,0.3779,0.6714,0.4685,0.5487
NW_006804200.1,862,2417577,1224327,110,0.0549,0.125,0.0787,0.3856,0.283,0.3874,0.6345,0.5421,0.502
NW_006804208.1,23250,2867799,1253980,102,0.0577,0.09,0.0515,0.4948,0.1783,0.4804,0.7445,0.417,0.6713
NW_006804223.1,221723,2784479,1327962,110,0.0771,0.0934,0.085,0.4246,0.2383,0.3936,0.6655,0.3947,0.5708
NW_006804226.1,21922,2901027,1305255,109,0.0796,0.0904,0.0734,0.4297,0.1819,0.4198,0.6684,0.3053,0.6102
NW_006804230.1,13493,2852862,1436923,107,0.0573,0.0871,0.1208,0.4523,0.2447,0.4811,0.7288,0.4209,0.6102
NW_006804232.1,27361,2608031,1328823,110,0.0506,0.0979,0.0678,0.3583,0.1931,0.4043,0.6659,0.4474,0.5873
NW_006804233.1,4299,2796194,1463909,103,0.0944,0.0862,0.1068,0.402,0.2202,0.3525,0.6274,0.2872,0.5267
NW_006804244.1,2531,2669421,1229280,103,0.0664,0.1037,0.0751,0.4626,0.18,0.4486,0.6942,0.3436,0.598
NW_006804265.1,6735,2759027,1265608,107,0.0912,0.0756,0.0796,0.3632,0.2588,0.3051,0.6187,0.3892,0.5417
NW_006804278.1,17937,2600299,1419086,102,0.0596,0.1258,0.0728,0.2967,0.1566,0.2891,0.536,0.322,0.4035
NW_006804280.1,9920,2620669,1338043,103,0.0856,0.0685,0.1067,0.3944,0.3215,0.4,0.6652,0.4503,0.613
NW_006804282.1,20009,2256280,1059865,110,0.0376,0.114,0.0887,0.4343,0.2003,0.4907,0.7186,0.4838,0.591
NW_006804302.1,1549,2153376,1105401,107,0.0652,0.1283,0.0872,0.4782,0.201,0.4277,0.6729,0.3694,0.5203
NW_006804349.1,17147,2005748,986325,108,0.0746,0.1001,0.099,0.3308,0.2131,0.3602,0.5844,0.3416,0.5097
