#Locus	GC%
loc163603	0.4933
loc69103	0.3984
loc648800	0.5177
loc435417	0.5214
loc627862	0.4813
loc368670	0.5831
loc874446	0.5696
loc666721	0.5612
loc440718	0.5183
loc132152	0.5441
loc373974	0.5191
loc423662	0.4702
loc164470	0.5840
loc150070	0.5007
loc71388	0.5486
loc617351	0.4363
loc857394	0.5461
loc812458	0.4772
loc150074	0.4686
loc281455	0.5330
loc332922	0.4759
loc716419	0.5108
loc198035	0.4665
loc848661	0.5519
loc377866	0.4569
loc656218	0.5306
loc398808	0.5174
loc510983	0.5811
loc479035	0.5476
loc807612	0.5932
loc367354	0.5072
loc335039	0.5584
loc186289	0.5907
loc268294	0.5236
loc788467	0.6368
loc603412	0.5394
loc877015	0.5680
loc115560	0.7263
loc280139	0.4719
loc129969	0.5391
loc52600	0.5124
loc589934	0.4911
loc236430	0.5561
loc202871	0.5090
loc618685	0.5197
loc223812	0.3842
loc476474	0.6220
loc371332	0.5256
loc241733	0.4011
loc707233	0.6049
loc662842	0.4746
loc761907	0.5212
loc70527	0.5672
loc176230	0.4880
loc400083	0.5078
loc367819	0.5544
loc547108	0.4910
loc843914	0.5262
loc620011	0.4808
loc213303	0.3663
loc552409	0.4077
loc49957	0.5403
loc861836	0.5397
loc648816	0.4317
loc762774	0.5296
loc757479	0.5656
loc394922	0.4695
loc764019	0.6446
loc444610	0.4719
loc457231	0.5443
loc159187	0.5201
loc826868	0.5886
loc455993	0.5475
loc779281	0.5583
loc878346	0.5335
loc89683	0.5261
loc434100	0.5450
loc105519	0.4575
loc575080	0.5988
loc432860	0.5077
loc869613	0.5508
loc240418	0.4837
loc743530	0.5676
loc397039	0.5041
loc272735	0.5969
loc613931	0.4939
loc558948	0.5134
loc210741	0.5162
loc180215	0.5821
loc276620	0.5276
loc70074	0.4682
loc697730	0.5054
loc683330	0.3737
loc418836	0.4969
loc388308	0.6528
loc132625	0.5575
loc385286	0.5206
loc294542	0.4962
loc294544	0.4522
loc878806	0.5254
loc75743	0.5261
loc389173	0.5164
loc376555	0.5829
loc195488	0.4457
loc88368	0.4483
loc779749	0.6031
loc271412	0.5457
loc298432	0.5774
loc562922	0.5278
loc168835	0.5630
loc813798	0.4948
loc687229	0.5144
loc717758	0.4272
loc300166	0.4958
loc47319	0.5992
loc236443	0.5084
loc366044	0.4696
loc236444	0.4164
loc838621	0.5628
loc470406	0.5755
loc740979	0.4830
loc712541	0.4464
loc526178	0.4850
loc241746	0.4685
loc97559	0.7103
loc693392	0.5406
loc385748	0.5471
loc293223	0.5334
loc544097	0.5502
loc49964	0.5590
loc744862	0.5242
loc739566	0.4748
loc744863	0.5763
loc194163	0.4401
loc245630	0.5159
loc194166	0.5596
loc213317	0.5111
loc860067	0.5538
loc485675	0.5352
loc426701	0.4645
loc535367	0.4010
loc92349	0.5131
loc679369	0.5694
loc228581	0.4916
loc89690	0.5259
loc394939	0.4939
loc423688	0.5419
loc228583	0.4989
loc164497	0.4331
loc409653	0.4613
loc878359	0.5414
loc136062	0.5156
loc409654	0.5027
loc137844	0.5487
loc791133	0.5110
loc661535	0.7022
loc219851	0.6187
loc267449	0.4848
loc87500	0.5264
loc173682	0.4701
loc576876	0.4370
loc500480	0.4945
loc194624	0.4251
loc647504	0.4367
loc576878	0.7046
loc516125	0.7031
loc367374	0.5373
loc807634	0.5115
loc665422	0.3421
loc237775	0.5801
loc658885	0.4456
loc237779	0.4568
loc244319	0.5480
loc449384	0.5565
loc521429	0.4874
loc720413	0.4694
loc159659	0.5189
loc566368	0.4152
loc518774	0.5562
loc363945	0.5496
loc344249	0.6689
loc118608	0.4897
loc765359	0.5504
loc205910	0.4203
loc300172	0.5689
loc285824	0.3626
loc756620	0.5468
loc444173	0.5015
loc298445	0.5369
loc444174	0.5489
loc190280	0.5613
loc223831	0.4804
loc236453	0.5391
loc879688	0.5450
loc527963	0.4325
loc497435	0.5598
loc497436	0.4363
loc838632	0.4026
loc639649	0.5504
loc110374	0.6331
loc48193	0.4889
loc289717	0.5635
loc449849	0.4128
loc362620	0.3956
loc856559	0.5462
loc570348	0.5642
loc765816	0.5408
loc730477	0.4882
loc440749	0.5447
loc128666	0.3795
loc250943	0.5602
loc341689	0.4973
loc250945	0.6254
loc412317	0.5874
loc154905	0.5115
loc625702	0.5682
loc327655	0.5622
loc118151	0.5247
loc748765	0.4382
loc214193	0.4106
loc787621	0.5035
loc295888	0.3865
loc803751	0.5157
loc791140	0.4109
loc787624	0.5369
loc198069	0.5944
loc215978	0.5381
loc317141	0.6079
loc821671	0.4803
loc622688	0.4597
loc96248	0.4726
loc803756	0.5217
loc432880	0.4484
loc233899	0.4651
loc531948	0.4791
loc452046	0.5376
loc874935	0.5009
loc466448	0.4641
loc372680	0.5538
loc566371	0.5135
loc177580	0.5340
loc56060	0.5221
loc184120	0.4849
loc877041	0.5308
loc825566	0.4878
loc457713	0.4780
loc830865	0.3323
loc733045	0.5705
loc683358	0.4493
loc408340	0.4800
loc440295	0.4177
loc851807	0.5481
loc461235	0.5664
loc648386	0.5259
loc660223	0.5629
loc120892	0.5731
loc154452	0.5503
loc783287	0.4383
loc431562	0.5782
loc363959	0.5808
loc376579	0.5396
loc589963	0.4839
loc873611	0.5028
loc222060	0.5015
loc870591	0.3941
loc742235	0.5780
loc865297	0.3971
loc865298	0.4038
loc742237	0.5594
loc657573	0.5260
loc52637	0.5955
loc452509	0.4380
loc113404	0.4926
loc70554	0.4877
loc435450	0.5619
loc565052	0.4711
loc421052	0.5507
loc877501	0.4474
loc661095	0.5205
loc305854	0.5184
loc824247	0.5158
loc330310	0.4662
loc131327	0.5775
loc74441	0.5875
loc421058	0.5097
loc421059	0.4524
loc602127	0.4872
loc652360	0.5057
loc609989	0.3853
loc556320	0.4019
loc258273	0.6185
loc197209	0.4315
loc114274	0.5268
loc874488	0.4323
loc128677	0.4822
loc277975	0.5185
loc57391	0.5575
loc851352	0.5011
loc748775	0.4829
loc622691	0.5907
loc476963	0.5639
loc295896	0.5137
loc370040	0.4435
loc366526	0.4217
loc688573	0.6013
loc869642	0.5382
loc293702	0.5686
loc335070	0.5470
loc272764	0.4301
loc285384	0.4618
loc576893	0.5524
loc272765	0.5471
loc212011	0.4998
loc176724	0.4087
loc613962	0.4276
loc634903	0.4910
loc484372	0.6118
loc335077	0.6292
loc388332	0.4756
loc517927	0.6461
loc729531	0.4897
loc839973	0.5226
loc223398	0.4965
loc729534	0.5152
loc164974	0.6231
loc372699	0.5999
loc882352	0.4476
loc864438	0.5943
loc75774	0.5317
loc122144	0.5239
loc738720	0.5723
loc370505	0.3974
loc589970	0.3427
loc300191	0.6753
loc408359	0.5613
loc868325	0.4610
loc596514	0.6099
loc140067	0.5029
loc787180	0.5741
loc788961	0.3864
loc643181	0.5452
loc463895	0.5028
loc126033	0.4127
loc639668	0.3956
loc106877	0.5680
loc241775	0.5136
loc838659	0.4294
loc881032	0.5097
loc634453	0.5183
loc439352	0.4307
loc140520	0.5268
loc802905	0.6005
loc457272	0.5305
loc439357	0.4953
loc819405	0.4126
loc171062	0.5095
loc607806	0.6091
loc444655	0.5437
loc235150	0.6036
loc508744	0.5775
loc480490	0.5676
loc604787	0.5411
loc137871	0.3606
loc331196	0.5174
loc803777	0.5027
loc787649	0.5909
loc397077	0.5155
loc384458	0.5088
loc620512	0.4514
loc226424	0.4332
loc205485	0.4343
loc778915	0.5625
loc226428	0.4590
loc388344	0.5585
loc71898	0.4307
loc878842	0.5412
loc571691	0.4632
loc716928	0.5309
loc64405	0.4837
loc136550	0.5733
loc104235	0.5618
loc624408	0.5322
loc791621	0.5306
loc149175	0.5395
loc363977	0.5243
loc582120	0.5728
loc480958	0.5460
loc847394	0.5490
loc86210	0.3908
loc852692	0.4977
loc218563	0.5163
loc756654	0.4954
loc781110	0.5938
loc339423	0.3986
loc180717	0.5209
loc65278	0.6620
loc629153	0.5671
loc417553	0.5000
loc262721	0.5494
loc84975	0.4594
loc127826	0.3648
loc385784	0.4701
loc385786	0.4343
loc126049	0.5402
loc644979	0.4883
loc602141	0.4362
loc421074	0.5661
loc747922	0.5038
loc665919	0.4083
loc881040	0.4348
loc538416	0.3971
loc170205	0.6034
loc579479	0.5014
loc305879	0.4764
loc796380	0.6039
loc603928	0.3994
loc375273	0.5720
loc882828	0.4818
loc375276	0.4986
loc396215	0.4152
loc867009	0.6616
loc297154	0.4524
loc815539	0.4514
loc508751	0.4586
loc313285	0.4547
loc198094	0.5825
loc656271	0.4115
loc512272	0.3925
loc595209	0.5856
loc547616	0.5217
loc83658	0.5394
loc391006	0.4636
loc371848	0.5468
loc212030	0.5604
loc869664	0.4711
loc438032	0.4215
loc869666	0.5082
loc176747	0.5133
loc466477	0.4929
loc213816	0.5006
loc127374	0.5749
loc637022	0.5552
loc535864	0.5367
loc166232	0.4478
loc716933	0.5543
loc425428	0.5114
loc217704	0.4606
loc289299	0.4255
loc248239	0.5557
loc352602	0.5691
loc864456	0.5085
loc669352	0.5254
loc461266	0.5055
loc240921	0.5788
loc507439	0.6297
loc108122	0.4680
loc773716	0.5076
loc621397	0.4770
loc370524	0.6259
loc465151	0.5579
loc562973	0.5526
loc859600	0.4568
loc65281	0.5250
loc47365	0.6176
loc140086	0.5761
loc639682	0.5013
loc292407	0.4615
loc868348	0.4230
loc639685	0.5374
loc445998	0.5162
loc106893	0.5336
loc728227	0.5879
loc326820	0.5511
loc774587	0.4852
loc435484	0.4722
loc145758	0.6019
loc701219	0.5059
loc407049	0.3815
loc556350	0.3508
loc543730	0.4573
loc252223	0.4872
loc266623	0.4622
loc389684	0.4452
loc181598	0.5394
loc854400	0.5132
loc652394	0.5843
loc61859	0.5109
loc245687	0.5453
loc846083	0.3047
loc660718	0.5111
loc65741	0.4572
loc574276	0.4631
loc47827	0.5513
loc352151	0.5301
loc334235	0.5167
loc105573	0.5895
loc876201	0.5817
loc370071	0.4996
loc876203	0.6509
loc384475	0.4714
loc118199	0.5329
loc466480	0.5403
loc317184	0.3892
loc407503	0.4793
loc810337	0.5371
loc792967	0.5003
loc855275	0.4325
loc148315	0.4643
loc74933	0.5377
loc109465	0.4707
loc330805	0.5459
loc276680	0.5654
loc127384	0.5555
loc135703	0.5258
loc411032	0.4988
loc729564	0.4562
loc686417	0.5634
loc833926	0.5221
loc592651	0.3720
loc755803	0.4194
loc457756	0.5851
loc773720	0.5251
loc352613	0.4047
loc638826	0.5379
loc143106	0.5523
loc253551	0.4739
loc837812	0.5747
loc687285	0.5155
loc370537	0.4540
loc706437	0.5736
loc303245	0.5465
loc562984	0.5005
loc367882	0.5240
loc367884	0.4766
loc859616	0.5403
loc795532	0.5438
loc374426	0.5653
loc100827	0.5497
loc696472	0.4385
loc208068	0.5499
loc131364	0.5250
loc587812	0.5198
loc357370	0.5418
loc785015	0.5639
loc587815	0.3734
loc881061	0.5417
loc525822	0.4877
loc524039	0.4933
loc389692	0.4989
loc266634	0.5028
loc389695	0.4980
loc881068	0.3644
loc802935	0.4889
loc525828	0.5150
loc389697	0.5056
loc348641	0.5011
loc840016	0.4663
loc806820	0.3306
loc691266	0.5825
loc773270	0.6081
loc126522	0.5335
loc470924	0.4098
loc398880	0.3351
loc321628	0.4726
loc193817	0.5768
loc398884	0.4627
loc130045	0.4962
loc112129	0.5062
loc110887	0.4819
loc828622	0.5571
loc596092	0.6060
loc590011	0.5801
loc565556	0.5192
loc517960	0.5578
loc275829	0.5384
loc357832	0.5229
loc863605	0.4863
loc304578	0.6011
loc180283	0.5880
loc634943	0.6444
loc647564	0.5351
loc375753	0.4312
loc542425	0.4850
loc92869	0.4283
loc379640	0.5209
loc443367	0.4357
loc574749	0.5314
loc188053	0.4517
loc592667	0.4500
loc802483	0.3730
loc773736	0.4292
loc130503	0.5540
loc383164	0.4274
loc274505	0.4724
loc218591	0.5798
loc583933	0.5713
loc109933	0.5223
loc578639	0.5543
loc175448	0.4199
loc361813	0.4563
loc782922	0.4594
loc212519	0.4751
loc244836	0.5197
loc763229	0.4948
loc158393	0.5539
loc506125	0.4316
loc407061	0.4291
loc388838	0.5117
loc491419	0.6063
loc126079	0.3842
loc428002	0.5929
loc262756	0.5924
loc538444	0.5503
loc330361	0.4802
loc344761	0.5390
loc200762	0.4495
loc326848	0.4939
loc669833	0.6749
loc56578	0.5327
loc783791	0.5278
loc227787	0.5082
loc687751	0.5066
loc362684	0.5932
loc82817	0.5197
loc483551	0.4984
loc444696	0.4173
loc872345	0.4791
loc208532	0.5239
loc787682	0.5147
loc240491	0.5956
loc193827	0.4802
loc483559	0.5581
loc311122	0.4765
loc407523	0.5497
loc293752	0.4782
loc869694	0.5909
loc421566	0.5791
loc109482	0.4715
loc555043	0.5356
loc357843	0.4486
loc751932	0.5544
loc448589	0.4759
loc114781	0.4731
loc746638	0.4833
loc73174	0.5628
loc258782	0.4194
loc244386	0.5719
loc73179	0.4547
loc691730	0.3936
loc665496	0.5173
loc153643	0.5820
loc768436	0.5187
loc651097	0.5110
loc361369	0.5542
loc139603	0.5968
loc443374	0.4449
loc871024	0.5548
loc198587	0.4987
loc674680	0.5385
loc482238	0.4397
loc16853	0.4810
loc482239	0.4944
loc322961	0.5613
loc292433	0.5120
loc266198	0.5418
loc873671	0.3594
loc147014	0.5535
loc108159	0.4049
loc791669	0.5789
loc695628	0.4457
loc86252	0.4958
loc473504	0.6032
loc387057	0.6114
loc162837	0.5109
loc612694	0.4580
loc583947	0.5248
loc568126	0.4400
loc484885	0.6640
loc438529	0.4572
loc502258	0.4917
loc230446	0.4523
loc552493	0.5364
loc651558	0.5860
loc316330	0.5759
loc407075	0.4866
loc442056	0.4344
loc683879	0.4652
loc882863	0.5777
loc95445	0.4309
loc660743	0.5539
loc95448	0.5854
loc868831	0.4688
loc646703	0.6346
loc99324	0.4567
loc67008	0.3871
loc801178	0.5503
loc426788	0.5076
loc755372	0.6084
loc496181	0.4948
loc113920	0.6712
loc847899	0.5342
loc709018	0.6337
loc274064	0.5120
loc810366	0.5855
loc591810	0.5398
loc473051	0.5602
loc357852	0.5699
loc130069	0.4779
loc183324	0.4891
loc103409	0.4900
loc407537	0.5070
loc377009	0.4794
loc329413	0.5842
loc60564	0.5940
loc114792	0.5421
loc77060	0.8290
loc686441	0.4766
loc686444	0.4756
loc691743	0.5107
loc610053	0.5249
loc871036	0.5682
loc253580	0.5802
loc663309	0.5633
loc447265	0.6146
loc82374	0.5054
loc706461	0.4838
loc356521	0.4951
loc379669	0.5155
loc338608	0.5992
loc68337	0.6335
loc642379	0.5782
loc434655	0.4612
loc674697	0.5455
loc86260	0.5326
loc810829	0.3852
loc502260	0.3857
loc555513	0.5364
loc596575	0.5931
loc340892	0.4972
loc651560	0.4828
loc126092	0.5063
loc404982	0.5657
loc45206	0.4474
loc633649	0.4538
loc616590	0.5429
loc262776	0.4796
loc166737	0.5310
loc882870	0.5760
loc279274	0.4063
loc881095	0.4298
loc383642	0.5156
loc823904	0.5158
loc284581	0.4732
loc561690	0.5038
loc238226	0.5174
loc805063	0.5805
loc646715	0.5261
loc724845	0.5070
loc561695	0.4797
loc763703	0.4361
loc710448	0.5583
loc33468	0.5403
loc483575	0.5037
loc360514	0.5569
loc86729	0.5439
loc664646	0.5060
loc442522	0.5878
loc231782	0.5441
loc135741	0.4941
loc77071	0.5091
loc473068	0.3530
loc459028	0.3853
loc121344	0.5948
loc710902	0.5578
loc386202	0.5385
loc768456	0.5400
loc429351	0.5278
loc872820	0.5424
loc833969	0.3902
loc384970	0.4213
loc397590	0.5003
loc624468	0.5250
loc260131	0.4654
loc188084	0.5705
loc182007	0.5720
loc253596	0.5020
loc745328	0.5381
loc810838	0.4789
loc452582	0.4606
loc452583	0.4109
loc260139	0.5303
loc859651	0.4378
loc841377	0.5783
loc873694	0.5146
loc814719	0.5426
loc795571	0.5505
loc343928	0.6353
loc308951	0.5436
loc296336	0.4887
loc388865	0.4717
loc216425	0.5335
loc388868	0.4066
loc495324	0.2822
loc429812	0.5572
loc166745	0.5468
loc610521	0.5243
loc548999	0.3728
loc559415	0.5000
loc447731	0.4478
loc156223	0.5360
loc741904	0.4083
loc655460	0.4187
loc461774	0.5412
loc443858	0.3691
loc287605	0.5677
loc383650	0.4832
loc545019	0.5625
loc383651	0.4178
loc744003	0.5357
loc641064	0.5072
loc655465	0.5569
loc330399	0.4249
loc706934	0.4650
loc802977	0.3779
loc369616	0.5257
loc419304	0.4116
loc139174	0.5225
loc355219	0.5062
loc154997	0.5895
loc724858	0.5758
loc291138	0.4947
loc868859	0.5170
loc90253	0.5758
loc152801	0.4619
loc359108	0.4515
loc794258	0.4710
loc573914	0.4927
loc718222	0.4718
loc655922	0.5682
loc212096	0.5464
loc169307	0.4526
loc46546	0.4901
loc789402	0.5126
loc672064	0.5729
loc411085	0.4974
loc478738	0.6076
loc386214	0.5579
loc631008	0.5497
loc171594	0.4514
loc650711	0.4445
loc51858	0.5198
loc68354	0.5930
loc642399	0.5922
loc129125	0.5124
loc73660	0.5443
loc460912	0.3877
loc134424	0.5365
loc541133	0.5350
loc86282	0.6241
loc55748	0.5110
loc623142	0.4705
loc347814	0.4981
loc633668	0.5152
loc516689	0.5287
loc832654	0.5373
loc166755	0.4902
loc138315	0.5297
loc443865	0.5454
loc849154	0.3811
loc532406	0.4615
loc577344	0.4569
loc396280	0.4855
loc108640	0.4299
loc776330	0.5097
loc95476	0.5743
loc669877	0.6331
loc641079	0.3614
loc478289	0.4041
loc868865	0.5022
loc776337	0.4915
loc854466	0.5021
loc192084	0.4832
loc243551	0.5337
loc650260	0.4605
loc714345	0.5383
loc709049	0.5202
loc572133	0.5315
loc403681	0.5399
loc880708	0.4990
loc151028	0.3532
loc63604	0.4524
loc215116	0.4885
loc876266	0.4864
loc810394	0.6088
loc629686	0.5435
loc538943	0.6169
loc158897	0.5278
loc432020	0.5092
loc573926	0.5227
loc867531	0.4088
loc459043	0.5031
loc357884	0.4751
loc456949	0.4289
loc169317	0.5911
loc693006	0.5530
loc238701	0.5375
loc754071	0.5245
loc412874	0.5131
loc203370	0.5560
loc659815	0.5989
loc224309	0.5080
loc384990	0.5145
loc379695	0.4463
loc72807	0.5059
loc628363	0.5421
loc628364	0.4258
loc667221	0.4124
loc496679	0.4675
loc134430	0.4609
loc120031	0.4572
loc130556	0.5291
loc601353	0.5538
loc391538	0.4953
loc73670	0.3674
loc369179	0.5600
loc80208	0.5984
loc640208	0.5587
loc460925	0.5913
loc307186	0.4523
loc438567	0.4883
loc202043	0.4069
loc594404	0.4923
loc818622	0.5137
loc689030	0.5423
loc542936	0.5339
loc248764	0.5811
loc741920	0.3511
loc507961	0.5004
loc50541	0.6582
loc191219	0.5474
loc861001	0.5019
loc433355	0.4714
loc447756	0.4730
loc737485	0.4209
loc632340	0.6181
loc564740	0.4677
loc642867	0.3513
loc420742	0.5095
loc868871	0.5028
loc813410	0.5479
loc628828	0.5191
loc607893	0.5093
loc271994	0.4740
loc709054	0.4857
loc685603	0.3917
loc243560	0.5023
loc161558	0.5065
loc208581	0.4830
loc794270	0.5588
loc296814	0.5956
loc763736	0.5003
loc192097	0.5036
loc178056	0.5608
loc360544	0.4674
loc794273	0.5013
loc476106	0.5728
loc599168	0.5129
loc311171	0.4696
loc428512	0.5139
loc131888	0.4446
loc103447	0.5089
loc446431	0.4975
loc174621	0.4363
loc853142	0.4602
loc801670	0.4956
loc315054	0.7194
loc853143	0.5385
loc828689	0.4012
loc135772	0.5555
loc686481	0.5659
loc302437	0.4136
loc121375	0.4140
loc234839	0.5053
loc85423	0.5388
loc789423	0.4865
loc762403	0.4086
loc737949	0.5422
loc768487	0.5863
loc872851	0.6473
loc714811	0.5825
loc546364	0.5063
loc386237	0.4239
loc90733	0.4549
loc423309	0.5986
loc178517	0.5520
loc780334	0.4817
loc233503	0.5217
loc356564	0.5727
loc809445	0.4757
loc564296	0.4540
loc377507	0.5230
loc510621	0.4409
loc374491	0.4851
loc866223	0.5551
loc569956	0.3912
loc120048	0.5278
loc244892	0.4153
loc459519	0.4647
loc111310	0.4602
loc586098	0.6530
loc106016	0.5136
loc663803	0.4832
loc411569	0.4524
loc689045	0.4965
loc786870	0.5065
loc641090	0.4000
loc49133	0.5643
loc723092	0.4103
loc195113	0.4421
loc104786	0.4865
loc731414	0.5492
loc867096	0.4686
loc115202	0.4600
loc383684	0.5822
loc515372	0.5348
loc758438	0.5828
loc840083	0.4320
loc660796	0.5735
loc277123	0.5778
loc147523	0.5263
loc257970	0.4866
loc199001	0.5137
loc735302	0.4802
loc465696	0.5241
loc86764	0.5016
loc671216	0.5011
loc879304	0.5156
loc668564	0.4412
loc474881	0.5698
loc737950	0.5414
loc94168	0.6072
loc252761	0.5172
loc433826	0.5463
loc234846	0.4873
loc550810	0.4286
loc514050	0.6413
loc673872	0.4722
loc754093	0.6178
loc680409	0.5302
loc107344	0.3403
loc632815	0.5838
loc334772	0.5677
loc556898	0.5441
loc211709	0.4215
loc840548	0.4853
loc628380	0.4957
loc650741	0.4802
loc585237	0.5002
loc416785	0.6214
loc377513	0.5601
loc228218	0.5523
loc102135	0.5649
loc473560	0.4692
loc103916	0.5254
loc377516	0.5337
loc798627	0.5251
loc460944	0.7721
loc784229	0.4864
loc328144	0.5775
loc859694	0.4619
loc845295	0.5931
loc445126	0.5128
loc347842	0.4282
loc450423	0.6665
loc296379	0.4773
loc581810	0.5137
loc173319	0.5248
loc223007	0.5123
loc98518	0.5397
loc49141	0.4865
loc156263	0.4401
loc741946	0.5126
loc624967	0.6162
loc67064	0.5617
loc195124	0.5828
loc667700	0.5417
loc373171	0.5549
loc238276	0.4675
loc93304	0.3733
loc646765	0.5348
loc681747	0.5076
loc369659	0.5282
loc307663	0.5394
loc854497	0.5476
loc179852	0.5588
loc685625	0.5729
loc72374	0.5868
loc794291	0.5511
loc599184	0.5202
loc374964	0.5119
loc879319	0.5609
loc110002	0.4976
loc477908	0.4606
loc279780	0.5011
loc593109	0.4649
loc822622	0.5877
loc170763	0.5512
loc446453	0.5451
loc442579	0.4641
loc336014	0.5320
loc234855	0.5136
loc614904	0.5908
loc499712	0.4549
loc302459	0.4504
loc211716	0.5144
loc451761	0.5125
loc135798	0.6001
loc418025	0.5303
loc71048	0.5480
loc514068	0.4638
loc451765	0.5501
loc714833	0.5468
loc581366	0.4546
loc554707	0.4317
loc201203	0.5927
loc858837	0.4922
loc857057	0.5772
loc178537	0.5034
loc215604	0.5720
loc622314	0.4877
loc551692	0.5315
loc519735	0.4653
loc615780	0.4580
loc402397	0.5557
loc247924	0.4518
loc134462	0.5847
loc809467	0.5206
loc391569	0.4201
loc736640	0.5179
loc438594	0.4840
loc147086	0.4898
loc459534	0.3422
loc626203	0.5436
loc631500	0.7231
loc722246	0.5198
loc425983	0.5753
loc411583	0.3531
loc202076	0.5301
loc626208	0.4799
loc686967	0.4722
loc789907	0.5007
loc705191	0.4652
loc663823	0.4624
loc705192	0.2707
loc708216	0.4411
loc386717	0.4975
loc269737	0.6198
loc566006	0.5112
loc174191	0.5003
loc708219	0.5541
loc628851	0.5575
loc875432	0.4265
loc809920	0.3853
loc49157	0.5248
loc211263	0.4766
loc515394	0.5261
loc568650	0.4742
loc515395	0.5280
loc671232	0.4613
loc303797	0.5381
loc728781	0.5735
loc295061	0.5303
loc502784	0.5813
loc879325	0.4790
loc455194	0.3386
loc202533	0.4696
loc410259	0.5160
loc880749	0.7425
loc845769	0.4804
loc124411	0.5442
loc138811	0.3740
loc179869	0.5660
loc247473	0.4112
loc360579	0.5423
loc191707	0.4215
loc229559	0.4947
loc116096	0.5417
loc531124	0.6968
loc835253	0.4180
loc116098	0.5421
loc662507	0.5119
loc286335	0.7627
loc874111	0.5630
loc432065	0.4397
loc238740	0.4699
loc329485	0.4430
loc337806	0.5575
loc432068	0.5312
loc242260	0.5873
loc514073	0.4875
loc776838	0.5157
loc58800	0.5319
loc437733	0.5263
loc165921	0.4913
loc599650	0.5871
loc112673	0.4937
loc112675	0.3573
loc862364	0.5859
loc649343	0.5412
loc780365	0.5307
loc519744	0.5182
loc480112	0.4378
loc363132	0.5392
loc794768	0.5382
loc732774	0.5563
loc183855	0.5903
loc346080	0.5384
loc168038	0.3657
loc500130	0.5659
loc685189	0.5358
loc446928	0.3907
loc237423	0.5897
loc484004	0.5489
loc446929	0.5734
loc333468	0.6020
loc775516	0.3601
loc415472	0.4671
loc663834	0.5100
loc662054	0.5288
loc836584	0.5778
loc399348	0.4781
loc871565	0.5244
loc342650	0.4720
loc150207	0.3786
loc93321	0.4690
loc143674	0.5936
loc68867	0.3362
loc744069	0.3380
loc115236	0.4543
loc827855	0.4716
loc564788	0.5355
loc685644	0.5194
loc831374	0.5556
loc800841	0.5085
loc314225	0.5170
loc781691	0.4106
loc374983	0.5164
loc866715	0.5688
loc463523	0.5590
loc410268	0.4572
loc312991	0.5512
loc138822	0.5291
loc668592	0.5386
loc273720	0.4643
loc510195	0.3492
loc111806	0.5351
loc385407	0.4918
loc350068	0.4164
loc853180	0.5503
loc350069	0.6011
loc675137	0.6056
loc726606	0.5341
loc351858	0.5610
loc730126	0.5744
loc805591	0.5334
loc627547	0.5351
loc92006	0.5721
loc813914	0.5675
loc684323	0.5076
loc125297	0.5904
loc112682	0.5787
loc423347	0.5280
loc324283	0.4981
loc494520	0.5322
loc476605	0.5378
loc155420	0.4992
loc766339	0.5002
loc120083	0.4634
loc432531	0.5083
loc315551	0.5358
loc142803	0.5237
loc446932	0.5152
loc363149	0.3727
loc160720	0.5208
loc59681	0.5626
loc757601	0.5307
loc722262	0.5507
loc589154	0.5337
loc446934	0.5127
loc343995	0.5688
loc732788	0.4526
loc301156	0.4130
loc155429	0.3592
loc85921	0.4862
loc495392	0.5382
loc202098	0.5973
loc822190	0.5498
loc449041	0.5828
loc138375	0.5434
loc203885	0.4263
loc609176	0.5759
loc504031	0.5925
loc429889	0.4556
loc423808	0.5623
loc454345	0.6090
loc150217	0.4390
loc758476	0.5093
loc875458	0.5380
loc61017	0.6450
loc847021	0.3382
loc523735	0.5184
loc251926	0.2596
loc395926	0.5478
loc698275	0.4663
loc866725	0.5121
loc639307	0.5433
loc593136	0.4037
loc676920	0.4600
loc414160	0.5280
loc84606	0.5872
loc63668	0.4682
loc788608	0.5842
loc446481	0.5310
loc861510	0.4195
loc731910	0.7305
loc67551	0.5466
loc435107	0.5434
loc853193	0.5837
loc310804	0.5720
loc169377	0.5078
loc446487	0.5689
loc35238	0.4900
loc790892	0.4200
loc679030	0.5099
loc875917	0.4317
loc550853	0.5558
loc256681	0.5029
loc250600	0.5336
loc861518	0.5418
loc515876	0.4950
loc451793	0.5422
loc659878	0.5100
loc604420	0.3497
loc762459	0.5163
loc71079	0.4503
loc327313	0.5554
loc295543	0.5059
loc455673	0.4170
loc865405	0.5584
loc526300	0.5252
loc585275	0.5247
loc102170	0.4812
loc58827	0.5148
loc178569	0.4380
loc363152	0.5776
loc526306	0.5152
loc870708	0.5713
loc123115	0.5785
loc800393	0.4527
loc329960	0.4943
loc94667	0.5777
loc542994	0.5745
loc382866	0.7669
loc807306	0.5332
loc662071	0.4490
loc818684	0.6118
loc662072	0.4001
loc146703	0.5328
loc306831	0.5473
loc404118	0.5832
loc780842	0.4747
loc731462	0.5760
loc211290	0.5060
loc882002	0.4889
loc862843	0.5738
loc454355	0.4209
loc214315	0.5761
loc653340	0.5556
loc784722	0.4744
loc731467	0.4918
loc211295	0.4735
loc622807	0.5234
loc826094	0.5150
loc692201	0.3937
loc458242	0.5111
loc431222	0.5297
loc831392	0.5992
loc199051	0.5721
loc589625	0.4264
loc413309	0.4943
loc332163	0.5148
loc79315	0.3381
loc774213	0.5163
loc476166	0.5553
loc124441	0.4626
loc84616	0.5969
loc753277	0.6446
loc740657	0.4774
loc657236	0.5927
